who,problem,when,problem_len,input_len,output_len,diff,result
*22211a6636,C,2024-05-26 19:22:00,133,64,14,1,0
*22211a6636,C,2024-05-26 19:22:00,133,64,14,1,0
*22211a6636,C,2024-05-26 19:28:00,133,64,14,1,0
*22211a6636,C,2024-05-26 19:28:00,133,64,14,1,0
*22211a6636,C,2024-05-26 19:34:00,133,64,14,1,0
*22211a6758,B,2024-05-26 18:31:00,67,38,37,0,0
*22211a6758,B,2024-05-26 18:31:00,67,38,37,0,0
*415411,E,2024-05-26 19:31:00,238,45,215,2,0
*415411,E,2024-05-26 19:32:00,238,45,215,2,0
*415411,E,2024-05-26 19:34:00,238,45,215,2,0
*7oSSam_JR,B,2024-05-26 19:02:00,67,38,37,0,0
*7oSSam_JR,B,2024-05-26 19:02:00,67,38,37,0,0
*7oSSam_JR,A,2024-05-26 19:05:00,66,35,38,0,0
*7oSSam_JR,A,2024-05-26 19:05:00,66,35,38,0,0
*7oSSam_JR,C,2024-05-26 19:12:00,133,64,14,1,0
*7oSSam_JR,C,2024-05-26 19:12:00,133,64,14,1,0
*874641984,D,2024-05-26 18:52:00,60,60,56,1,0
*874641984,D,2024-05-26 18:52:00,60,60,56,1,0
*874641984,D,2024-05-26 18:58:00,60,60,56,1,0
*874641984,D,2024-05-26 18:58:00,60,60,56,1,0
*874641984,D,2024-05-26 18:58:00,60,60,56,1,0
*874641984,D,2024-05-26 19:01:00,60,60,56,1,0
*874641984,D,2024-05-26 19:01:00,60,60,56,1,0
*874641984,D,2024-05-26 19:03:00,60,60,56,1,0
*874641984,D,2024-05-26 19:03:00,60,60,56,1,0
*874641984,D,2024-05-26 19:13:00,60,60,56,1,0
*874641984,D,2024-05-26 19:13:00,60,60,56,1,0
*874641984,D,2024-05-26 19:14:00,60,60,56,1,1
*874641984,D,2024-05-26 19:14:00,60,60,56,1,1
*888andrei888,B,2024-05-26 18:16:00,67,38,37,0,0
*888andrei888,B,2024-05-26 18:32:00,67,38,37,0,0
*888andrei888,B,2024-05-26 18:32:00,67,38,37,0,0
*888andrei888,B,2024-05-26 19:09:00,67,38,37,0,0
*888andrei888,B,2024-05-26 19:09:00,67,38,37,0,0
*888andrei888,B,2024-05-26 19:26:00,67,38,37,0,0
*888andrei888,B,2024-05-26 19:26:00,67,38,37,0,0
*ASHWANTH_K,D,2024-05-26 19:20:00,60,60,56,1,0
*ASHWANTH_K,D,2024-05-26 19:20:00,60,60,56,1,0
*ASHWANTH_K,D,2024-05-26 19:20:00,60,60,56,1,0
*ASHWANTH_K,D,2024-05-26 19:20:00,60,60,56,1,0
*ASHWANTH_K,D,2024-05-26 19:23:00,60,60,56,1,0
*ASHWANTH_K,D,2024-05-26 19:23:00,60,60,56,1,0
*ASHWANTH_K,D,2024-05-26 19:25:00,60,60,56,1,0
*ASHWANTH_K,D,2024-05-26 19:25:00,60,60,56,1,0
*ASHWANTH_K,D,2024-05-26 19:26:00,60,60,56,1,0
*ASHWANTH_K,D,2024-05-26 19:26:00,60,60,56,1,0
*A_man007,B,2024-05-26 18:38:00,67,38,37,0,0
*A_man007,B,2024-05-26 18:38:00,67,38,37,0,0
*A_man007,B,2024-05-26 18:40:00,67,38,37,0,0
*A_man007,B,2024-05-26 18:40:00,67,38,37,0,0
*A_man007,B,2024-05-26 18:40:00,67,38,37,0,0
*Aaryan_782,B,2024-05-26 19:04:00,67,38,37,0,0
*Aaryan_782,B,2024-05-26 19:04:00,67,38,37,0,0
*Aayan20004,B,2024-05-26 18:17:00,67,38,37,0,0
*Aayan20004,B,2024-05-26 18:25:00,67,38,37,0,0
*Aayan20004,B,2024-05-26 18:25:00,67,38,37,0,0
*Aayan20004,B,2024-05-26 18:25:00,67,38,37,0,0
*Aayan20004,B,2024-05-26 18:25:00,67,38,37,0,0
*Aayan20004,B,2024-05-26 18:28:00,67,38,37,0,0
*Aayan20004,B,2024-05-26 18:28:00,67,38,37,0,0
*Aayan20004,B,2024-05-26 18:28:00,67,38,37,0,0
*Aayan20004,B,2024-05-26 18:28:00,67,38,37,0,0
*Abhinav_Shukla1,B,2024-05-26 18:13:00,67,38,37,0,0
*Abhinav_Shukla1,B,2024-05-26 18:19:00,67,38,37,0,0
*Abhinav_Shukla1,B,2024-05-26 18:25:00,67,38,37,0,0
*Abhinav_Shukla1,B,2024-05-26 18:25:00,67,38,37,0,0
*Abhinav_Shukla1,B,2024-05-26 18:25:00,67,38,37,0,0
*Abhinav_Shukla1,B,2024-05-26 18:25:00,67,38,37,0,0
*Abhinav_Shukla1,B,2024-05-26 18:25:00,67,38,37,0,0
*AdarshSharma__,B,2024-05-26 18:40:00,67,38,37,0,0
*AdarshSharma__,B,2024-05-26 18:40:00,67,38,37,0,0
*Aditya_singh_yadav,B,2024-05-26 19:19:00,67,38,37,0,0
*Aditya_singh_yadav,B,2024-05-26 19:19:00,67,38,37,0,0
*Aditya_singh_yadav,B,2024-05-26 19:34:00,67,38,37,0,0
*Ahasan_Akash,B,2024-05-26 19:09:00,67,38,37,0,0
*Ahasan_Akash,B,2024-05-26 19:09:00,67,38,37,0,0
*Alassiess242,A,2024-05-26 18:29:00,66,35,38,0,0
*Alassiess242,A,2024-05-26 18:29:00,66,35,38,0,0
*Alassiess242,A,2024-05-26 18:29:00,66,35,38,0,0
*Alassiess242,A,2024-05-26 18:29:00,66,35,38,0,0
*Alpha_Q,D,2024-05-26 18:35:00,60,60,56,1,1
*Alpha_Q,D,2024-05-26 18:35:00,60,60,56,1,1
*Alpha_Q,D,2024-05-26 18:35:00,60,60,56,1,1
*Alx,D,2024-05-26 18:43:00,60,60,56,1,0
*Alx,D,2024-05-26 18:43:00,60,60,56,1,0
*Alx,D,2024-05-26 18:43:00,60,60,56,1,0
*Alx,D,2024-05-26 18:44:00,60,60,56,1,0
*Alx,D,2024-05-26 18:44:00,60,60,56,1,0
*Alx,D,2024-05-26 18:45:00,60,60,56,1,0
*Alx,D,2024-05-26 18:45:00,60,60,56,1,0
*Alx,D,2024-05-26 18:47:00,60,60,56,1,0
*Alx,D,2024-05-26 18:47:00,60,60,56,1,0
*Alx,D,2024-05-26 18:49:00,60,60,56,1,0
*Alx,D,2024-05-26 18:49:00,60,60,56,1,0
*Alx,D,2024-05-26 18:49:00,60,60,56,1,0
*Alx,D,2024-05-26 18:49:00,60,60,56,1,0
*Alx,D,2024-05-26 18:51:00,60,60,56,1,0
*Alx,D,2024-05-26 18:51:00,60,60,56,1,0
*Alx,D,2024-05-26 18:52:00,60,60,56,1,0
*Alx,D,2024-05-26 18:52:00,60,60,56,1,0
*Alx,D,2024-05-26 18:53:00,60,60,56,1,0
*Alx,D,2024-05-26 18:53:00,60,60,56,1,0
*Alx,D,2024-05-26 18:53:00,60,60,56,1,0
*Alx,D,2024-05-26 18:53:00,60,60,56,1,0
*Alx,D,2024-05-26 18:54:00,60,60,56,1,0
*Alx,D,2024-05-26 18:54:00,60,60,56,1,0
*Alx,D,2024-05-26 18:55:00,60,60,56,1,1
*Alx,D,2024-05-26 18:55:00,60,60,56,1,1
*Aman_pathan,B,2024-05-26 18:55:00,67,38,37,0,0
*Aman_pathan,B,2024-05-26 18:55:00,67,38,37,0,0
*AmirAli-Asgari,C,2024-05-26 18:15:00,133,64,14,1,1
*AmirAli-Asgari,D,2024-05-26 18:39:00,60,60,56,1,0
*AmirAli-Asgari,D,2024-05-26 18:39:00,60,60,56,1,0
*AmirAli-Asgari,D,2024-05-26 19:26:00,60,60,56,1,1
*AmirAli-Asgari,D,2024-05-26 19:26:00,60,60,56,1,1
*AmirAli-Asgari,D,2024-05-26 19:26:00,60,60,56,1,1
*AmirAli-Asgari,E,2024-05-26 19:34:00,238,45,215,2,0
*AmiralyB,A,2024-05-26 18:29:00,66,35,38,0,0
*AmiralyB,A,2024-05-26 18:29:00,66,35,38,0,0
*AmiralyB,A,2024-05-26 18:29:00,66,35,38,0,0
*AmiralyB,A,2024-05-26 18:29:00,66,35,38,0,0
*AmiralyB,A,2024-05-26 18:35:00,66,35,38,0,0
*AmiralyB,A,2024-05-26 18:35:00,66,35,38,0,0
*Amor-Mousa,C,2024-05-26 19:11:00,133,64,14,1,0
*Amor-Mousa,C,2024-05-26 19:11:00,133,64,14,1,0
*Amor-Mousa,C,2024-05-26 19:23:00,133,64,14,1,0
*Amor-Mousa,C,2024-05-26 19:23:00,133,64,14,1,0
*Anshu_Roy,B,2024-05-26 18:24:00,67,38,37,0,0
*Anshu_Roy,B,2024-05-26 18:24:00,67,38,37,0,0
*Anshu_Roy,B,2024-05-26 18:24:00,67,38,37,0,0
*Anshu_Roy,B,2024-05-26 18:24:00,67,38,37,0,0
*Anshu_Roy,B,2024-05-26 18:24:00,67,38,37,0,0
*Anshu_Roy,C,2024-05-26 18:39:00,133,64,14,1,0
*Anshu_Roy,C,2024-05-26 18:39:00,133,64,14,1,0
*Anshu_Roy,C,2024-05-26 19:12:00,133,64,14,1,0
*Anshu_Roy,C,2024-05-26 19:12:00,133,64,14,1,0
*Anshu_Roy,C,2024-05-26 19:14:00,133,64,14,1,0
*Anshu_Roy,C,2024-05-26 19:14:00,133,64,14,1,0
*Anshu_Roy,C,2024-05-26 19:16:00,133,64,14,1,0
*Anshu_Roy,C,2024-05-26 19:16:00,133,64,14,1,0
*Anshu_Roy,C,2024-05-26 19:18:00,133,64,14,1,0
*Anshu_Roy,C,2024-05-26 19:18:00,133,64,14,1,0
*AnubhavMI,B,2024-05-26 18:33:00,67,38,37,0,0
*AnubhavMI,B,2024-05-26 18:33:00,67,38,37,0,0
*Anubhav_Sultania,B,2024-05-26 18:33:00,67,38,37,0,0
*Anubhav_Sultania,B,2024-05-26 18:33:00,67,38,37,0,0
*Ar_Minas,C,2024-05-26 19:12:00,133,64,14,1,0
*Ar_Minas,C,2024-05-26 19:12:00,133,64,14,1,0
*Ar_Minas,C,2024-05-26 19:14:00,133,64,14,1,0
*Ar_Minas,C,2024-05-26 19:14:00,133,64,14,1,0
*Ar_Minas,C,2024-05-26 19:15:00,133,64,14,1,0
*Ar_Minas,C,2024-05-26 19:15:00,133,64,14,1,0
*Ar_Minas,C,2024-05-26 19:17:00,133,64,14,1,0
*Ar_Minas,C,2024-05-26 19:18:00,133,64,14,1,0
*Ar_Minas,C,2024-05-26 19:18:00,133,64,14,1,0
*Arsenal_for_life,A,2024-05-26 18:23:00,66,35,38,0,0
*Arsenal_for_life,A,2024-05-26 18:23:00,66,35,38,0,0
*Arsenal_for_life,B,2024-05-26 18:56:00,67,38,37,0,0
*Arsenal_for_life,B,2024-05-26 18:56:00,67,38,37,0,0
*Arsenal_for_life,B,2024-05-26 18:57:00,67,38,37,0,0
*Arsenal_for_life,B,2024-05-26 18:57:00,67,38,37,0,0
*Arsenal_for_life,C,2024-05-26 19:19:00,133,64,14,1,0
*Arsenal_for_life,C,2024-05-26 19:19:00,133,64,14,1,0
*Arsenal_for_life,D,2024-05-26 19:28:00,60,60,56,1,0
*Arsenal_for_life,D,2024-05-26 19:28:00,60,60,56,1,0
*AvisNura,C,2024-05-26 19:29:00,133,64,14,1,0
*AvisNura,C,2024-05-26 19:33:00,133,64,14,1,0
*Ayush_Gupta_1108,B,2024-05-26 18:41:00,67,38,37,0,0
*Ayush_Gupta_1108,B,2024-05-26 18:41:00,67,38,37,0,0
*Ayush_Gupta_1108,C,2024-05-26 19:24:00,133,64,14,1,0
*Ayush_Gupta_1108,C,2024-05-26 19:24:00,133,64,14,1,0
*Ayush_Gupta_1108,C,2024-05-26 19:33:00,133,64,14,1,0
*Be_dos,D,2024-05-26 19:13:00,60,60,56,1,0
*Be_dos,D,2024-05-26 19:13:00,60,60,56,1,0
*Be_dos,D,2024-05-26 19:26:00,60,60,56,1,0
*Be_dos,D,2024-05-26 19:26:00,60,60,56,1,0
*Be_dos,D,2024-05-26 19:29:00,60,60,56,1,0
*Be_dos,D,2024-05-26 19:29:00,60,60,56,1,0
*Be_dos,D,2024-05-26 19:33:00,60,60,56,1,0
*Be_dos,D,2024-05-26 19:34:00,60,60,56,1,1
*BeepRebel,B,2024-05-26 18:36:00,67,38,37,0,0
*BeepRebel,B,2024-05-26 18:36:00,67,38,37,0,0
*BeepRebel,C,2024-05-26 19:19:00,133,64,14,1,0
*BeepRebel,C,2024-05-26 19:19:00,133,64,14,1,0
*BeepRebel,C,2024-05-26 19:21:00,133,64,14,1,0
*BeepRebel,C,2024-05-26 19:21:00,133,64,14,1,0
*Bhanu0p,B,2024-05-26 18:42:00,67,38,37,0,0
*Bhanu0p,B,2024-05-26 18:42:00,67,38,37,0,0
*Bhanu0p,B,2024-05-26 18:42:00,67,38,37,0,0
*BhuvanG,D,2024-05-26 18:52:00,60,60,56,1,0
*BhuvanG,D,2024-05-26 18:52:00,60,60,56,1,0
*BhuvanG,C,2024-05-26 19:23:00,133,64,14,1,0
*BhuvanG,C,2024-05-26 19:23:00,133,64,14,1,0
*BhuvanG,C,2024-05-26 19:26:00,133,64,14,1,0
*BhuvanG,C,2024-05-26 19:26:00,133,64,14,1,0
*BhuvanG,C,2024-05-26 19:29:00,133,64,14,1,0
*BhuvanG,C,2024-05-26 19:29:00,133,64,14,1,0
*BhuvanG,C,2024-05-26 19:30:00,133,64,14,1,0
*BlueDiamond,C,2024-05-26 18:28:00,133,64,14,1,1
*BlueDiamond,C,2024-05-26 18:28:00,133,64,14,1,1
*BlueDiamond,C,2024-05-26 18:28:00,133,64,14,1,1
*BlueDiamond,C,2024-05-26 18:28:00,133,64,14,1,1
*BlueDiamond,D,2024-05-26 18:42:00,60,60,56,1,0
*BlueDiamond,D,2024-05-26 18:42:00,60,60,56,1,0
*BlueDiamond,D,2024-05-26 18:42:00,60,60,56,1,0
*BlueDiamond,D,2024-05-26 18:42:00,60,60,56,1,0
*BlueDiamond,D,2024-05-26 18:42:00,60,60,56,1,0
*BlueDiamond,D,2024-05-26 18:42:00,60,60,56,1,0
*BlueDiamond,D,2024-05-26 18:44:00,60,60,56,1,1
*BlueDiamond,D,2024-05-26 18:44:00,60,60,56,1,1
*BlueDiamond,E,2024-05-26 19:32:00,238,45,215,2,0
*BlueDiamond,E,2024-05-26 19:33:00,238,45,215,2,0
*BlueDiamond,E,2024-05-26 19:33:00,238,45,215,2,0
*BlueDiamond,E,2024-05-26 19:33:00,238,45,215,2,0
*BlueDiamond,E,2024-05-26 19:34:00,238,45,215,2,0
*BlueDiamond,E,2024-05-26 19:34:00,238,45,215,2,0
*Boboge,C,2024-05-26 18:26:00,133,64,14,1,0
*Boboge,C,2024-05-26 18:26:00,133,64,14,1,0
*Boboge,C,2024-05-26 18:26:00,133,64,14,1,0
*Boboge,C,2024-05-26 18:26:00,133,64,14,1,0
*Boboge,C,2024-05-26 18:32:00,133,64,14,1,0
*Boboge,C,2024-05-26 18:32:00,133,64,14,1,0
*Boboge,C,2024-05-26 18:35:00,133,64,14,1,1
*Boboge,C,2024-05-26 18:35:00,133,64,14,1,1
*Boboge,D,2024-05-26 19:21:00,60,60,56,1,0
*Boboge,D,2024-05-26 19:21:00,60,60,56,1,0
*Boboge,D,2024-05-26 19:30:00,60,60,56,1,1
*Bucketsmith,D,2024-05-26 18:18:00,60,60,56,1,1
*Bucketsmith,E,2024-05-26 18:43:00,238,45,215,2,0
*Bucketsmith,E,2024-05-26 18:43:00,238,45,215,2,0
*Bucketsmith,E,2024-05-26 18:43:00,238,45,215,2,0
*Bucketsmith,E,2024-05-26 18:53:00,238,45,215,2,1
*Bucketsmith,E,2024-05-26 18:53:00,238,45,215,2,1
*BurnedChicken,E,2024-05-26 18:37:00,238,45,215,2,0
*BurnedChicken,E,2024-05-26 18:37:00,238,45,215,2,0
*BurnedChicken,E,2024-05-26 18:40:00,238,45,215,2,1
*BurnedChicken,E,2024-05-26 18:40:00,238,45,215,2,1
*CMRIT25_21r01a0540,A,2024-05-26 18:41:00,66,35,38,0,0
*CMRIT25_21r01a0540,A,2024-05-26 18:41:00,66,35,38,0,0
*CMRIT25_21r01a0540,A,2024-05-26 18:44:00,66,35,38,0,0
*CMRIT25_21r01a0540,A,2024-05-26 18:44:00,66,35,38,0,0
*CMRIT25_21r01a0540,B,2024-05-26 18:46:00,67,38,37,0,0
*CMRIT25_21r01a0540,B,2024-05-26 18:46:00,67,38,37,0,0
*CaPSanS623,A,2024-05-26 18:12:00,66,35,38,0,0
*CaPSanS623,B,2024-05-26 19:07:00,67,38,37,0,0
*CaPSanS623,B,2024-05-26 19:07:00,67,38,37,0,0
*Charitareddy_0,A,2024-05-26 18:17:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 18:18:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 18:19:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 18:21:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 18:21:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 18:21:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 18:25:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 18:25:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 18:25:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 18:25:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 18:25:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 18:26:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 18:26:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 18:26:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 18:26:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 18:39:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 18:39:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 19:01:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 19:01:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 19:02:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 19:02:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 19:03:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 19:03:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 19:04:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 19:04:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 19:04:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 19:04:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 19:05:00,66,35,38,0,0
*Charitareddy_0,A,2024-05-26 19:05:00,66,35,38,0,0
*Charitareddy_0,B,2024-05-26 19:15:00,67,38,37,0,0
*Charitareddy_0,B,2024-05-26 19:15:00,67,38,37,0,0
*Charitareddy_0,B,2024-05-26 19:17:00,67,38,37,0,0
*Charitareddy_0,B,2024-05-26 19:17:00,67,38,37,0,0
*Charitareddy_0,C,2024-05-26 19:27:00,133,64,14,1,0
*Charitareddy_0,C,2024-05-26 19:27:00,133,64,14,1,0
*Charitareddy_0,C,2024-05-26 19:33:00,133,64,14,1,0
*Charitareddy_0,C,2024-05-26 19:34:00,133,64,14,1,0
*Clein.qwq,E,2024-05-26 18:37:00,238,45,215,2,0
*Clein.qwq,E,2024-05-26 18:37:00,238,45,215,2,0
*Clein.qwq,E,2024-05-26 18:57:00,238,45,215,2,0
*Clein.qwq,E,2024-05-26 18:57:00,238,45,215,2,0
*Clein.qwq,E,2024-05-26 19:03:00,238,45,215,2,0
*Clein.qwq,E,2024-05-26 19:03:00,238,45,215,2,0
*Codegirl2005,B,2024-05-26 18:44:00,67,38,37,0,0
*Codegirl2005,B,2024-05-26 18:44:00,67,38,37,0,0
*CoderKrish10924,B,2024-05-26 18:20:00,67,38,37,0,0
*CoderKrish10924,B,2024-05-26 18:20:00,67,38,37,0,0
*CoderKrish10924,B,2024-05-26 18:20:00,67,38,37,0,0
*CoderKrish10924,B,2024-05-26 18:29:00,67,38,37,0,0
*CoderKrish10924,B,2024-05-26 18:29:00,67,38,37,0,0
*CoderKrish10924,B,2024-05-26 18:29:00,67,38,37,0,0
*CoderKrish10924,B,2024-05-26 18:29:00,67,38,37,0,0
*CoderKrish10924,B,2024-05-26 19:06:00,67,38,37,0,0
*CoderKrish10924,B,2024-05-26 19:06:00,67,38,37,0,0
*CodingJack,B,2024-05-26 18:35:00,67,38,37,0,0
*CodingJack,B,2024-05-26 18:35:00,67,38,37,0,0
*CodingJack,C,2024-05-26 19:27:00,133,64,14,1,0
*CodingJack,C,2024-05-26 19:27:00,133,64,14,1,0
*CrazyNotorious,C,2024-05-26 18:54:00,133,64,14,1,0
*CrazyNotorious,C,2024-05-26 18:54:00,133,64,14,1,0
*CrazyNotorious,C,2024-05-26 18:55:00,133,64,14,1,0
*CrazyNotorious,C,2024-05-26 18:55:00,133,64,14,1,0
*CrazyNotorious,C,2024-05-26 19:01:00,133,64,14,1,0
*CrazyNotorious,C,2024-05-26 19:01:00,133,64,14,1,0
*Cristiano_Ronaldo7,B,2024-05-26 18:17:00,67,38,37,0,0
*Cristiano_Ronaldo7,B,2024-05-26 18:17:00,67,38,37,0,0
*Cristiano_Ronaldo7,B,2024-05-26 19:07:00,67,38,37,0,0
*Cristiano_Ronaldo7,B,2024-05-26 19:07:00,67,38,37,0,0
*Cxiaoyi,A,2024-05-26 18:23:00,66,35,38,0,0
*Cxiaoyi,A,2024-05-26 18:23:00,66,35,38,0,0
*Cxiaoyi,A,2024-05-26 18:23:00,66,35,38,0,0
*Cxiaoyi,B,2024-05-26 19:34:00,67,38,37,0,0
*D0OMoP,B,2024-05-26 19:08:00,67,38,37,0,0
*D0OMoP,B,2024-05-26 19:08:00,67,38,37,0,0
*DangerMouse,B,2024-05-26 18:35:00,67,38,37,0,0
*DangerMouse,B,2024-05-26 18:35:00,67,38,37,0,0
*DemenBeoU,C,2024-05-26 18:24:00,133,64,14,1,1
*DemenBeoU,C,2024-05-26 18:24:00,133,64,14,1,1
*DemenBeoU,C,2024-05-26 18:24:00,133,64,14,1,1
*DemenBeoU,C,2024-05-26 18:24:00,133,64,14,1,1
*DemenBeoU,C,2024-05-26 18:24:00,133,64,14,1,1
*DemenBeoU,D,2024-05-26 19:00:00,60,60,56,1,1
*DemenBeoU,D,2024-05-26 19:00:00,60,60,56,1,1
*DemenBeoU,E,2024-05-26 19:22:00,238,45,215,2,0
*DemenBeoU,E,2024-05-26 19:22:00,238,45,215,2,0
*Dizzy-Coder,B,2024-05-26 19:09:00,67,38,37,0,0
*Dizzy-Coder,B,2024-05-26 19:09:00,67,38,37,0,0
*DmitryLzr,D,2024-05-26 18:19:00,60,60,56,1,1
*DmitryLzr,E,2024-05-26 18:32:00,238,45,215,2,0
*DmitryLzr,E,2024-05-26 18:32:00,238,45,215,2,0
*Dragokj03,B,2024-05-26 18:14:00,67,38,37,0,1
*Dragokj03,C,2024-05-26 18:29:00,133,64,14,1,0
*Dragokj03,C,2024-05-26 18:29:00,133,64,14,1,0
*Dragokj03,C,2024-05-26 18:29:00,133,64,14,1,0
*Dragokj03,C,2024-05-26 18:29:00,133,64,14,1,0
*Dragokj03,C,2024-05-26 18:31:00,133,64,14,1,1
*Dragokj03,C,2024-05-26 18:31:00,133,64,14,1,1
*Drakkon,B,2024-05-26 18:19:00,67,38,37,0,1
*Drakkon,D,2024-05-26 18:39:00,60,60,56,1,0
*Drakkon,D,2024-05-26 18:39:00,60,60,56,1,0
*Drakkon,D,2024-05-26 18:58:00,60,60,56,1,1
*Drakkon,D,2024-05-26 18:58:00,60,60,56,1,1
*Duck_sajin,C,2024-05-26 18:40:00,133,64,14,1,0
*Duck_sajin,C,2024-05-26 18:40:00,133,64,14,1,0
*Duck_sajin,C,2024-05-26 18:42:00,133,64,14,1,1
*Duck_sajin,C,2024-05-26 18:42:00,133,64,14,1,1
*Duck_sajin,C,2024-05-26 18:42:00,133,64,14,1,1
*Duck_sajin,D,2024-05-26 19:06:00,60,60,56,1,1
*Duck_sajin,D,2024-05-26 19:06:00,60,60,56,1,1
*Duck_sajin,E,2024-05-26 19:32:00,238,45,215,2,0
*Duck_sajin,E,2024-05-26 19:34:00,238,45,215,2,0
*DylanSmith,C,2024-05-26 18:13:00,133,64,14,1,0
*DylanSmith,C,2024-05-26 18:16:00,133,64,14,1,0
*DylanSmith,C,2024-05-26 18:18:00,133,64,14,1,0
*DylanSmith,C,2024-05-26 18:21:00,133,64,14,1,0
*DylanSmith,C,2024-05-26 18:21:00,133,64,14,1,0
*DylanSmith,C,2024-05-26 18:21:00,133,64,14,1,0
*DylanSmith,C,2024-05-26 18:24:00,133,64,14,1,0
*DylanSmith,C,2024-05-26 18:24:00,133,64,14,1,0
*DylanSmith,C,2024-05-26 18:24:00,133,64,14,1,0
*DylanSmith,C,2024-05-26 18:29:00,133,64,14,1,1
*DylanSmith,C,2024-05-26 18:29:00,133,64,14,1,1
*DylanSmith,C,2024-05-26 18:29:00,133,64,14,1,1
*DylanSmith,C,2024-05-26 18:29:00,133,64,14,1,1
*DylanSmith,D,2024-05-26 18:41:00,60,60,56,1,0
*DylanSmith,D,2024-05-26 18:41:00,60,60,56,1,0
*DylanSmith,D,2024-05-26 18:44:00,60,60,56,1,1
